Source,Target,Weight
CRWD,ABNB,1812
LMT,ABNB,108
BAC,ABNB,330
DAL,ABNB,459
ETSY,ABNB,912
MARK,ABNB,19
DLTR,ABNB,94
ON,ABNB,1908
SCHW,ABNB,33
PLUG,ABNB,410
LCID,ABNB,1019
DDOG,ABNB,1687
SQ,ABNB,3215
ORCL,ABNB,113
WISH,ABNB,254
NBY,ABNB,8
MGM,ABNB,176
AVGO,ABNB,470
TTD,ABNB,1585
GMBL,ABNB,7
BRK,ABNB,700
SNX,ABNB,218
KO,ABNB,240
MULN,ABNB,1892
LOW,ABNB,183
MRK,ABNB,128
U,ABNB,906
BYFC,ABNB,7
C,ABNB,296
NOW,ABNB,155
ABBV,ABNB,218
AAPL,ABNB,6882
FDX,ABNB,136
AMD,ABNB,8308
AFRM,ABNB,934
META,ABNB,5002
HTZ,ABNB,42
INPX,ABNB,5
CSCO,ABNB,364
CEI,ABNB,1816
JNJ,ABNB,667
AA,ABNB,630
PENN,ABNB,927
TWTR,ABNB,1101
CVNA,ABNB,278
MELI,ABNB,746
ROKU,ABNB,2455
DGLY,ABNB,14
AYRO,ABNB,15
SOFI,ABNB,2943
DYNT,ABNB,6
VXRT,ABNB,36
ADBE,ABNB,1376
CLF,ABNB,90
GILD,ABNB,199
DOW,ABNB,88
FCEL,ABNB,73
OXY,ABNB,1166
FUBO,ABNB,1502
OSTK,ABNB,912
LYFT,ABNB,832
COIN,ABNB,3115
DIS,ABNB,1287
BMY,ABNB,34
INTC,ABNB,478
NVAX,ABNB,1776
OCGN,ABNB,23
WKHS,ABNB,26
UAL,ABNB,239
CVX,ABNB,371
XSPA,ABNB,24
ENPH,ABNB,356
TXN,ABNB,50
BOXL,ABNB,10
SNOW,ABNB,1546
JAGX,ABNB,16
GE,ABNB,88
BIOC,ABNB,3
MRNA,ADBE,1633
DIS,ADBE,7475
TLRY,ADBE,236
APT,ADBE,10
LUV,ADBE,83
MS,ADBE,172
TGT,ADBE,363
BOXL,ADBE,13
BBIG,ADBE,2175
FUBO,ADBE,252
FSR,ADBE,34
PINS,ADBE,411
MCD,ADBE,1927
LMT,ADBE,253
XOM,ADBE,3187
ATER,ADBE,13
CZR,ADBE,26
WFC,ADBE,2572
AMD,ADBE,9516
AMZN,ADBE,19161
AA,ADBE,128
GNUS,ADBE,23
VZ,ADBE,3390
